Canada-Alberta,  Population size (1-year)     Last modified: 31-Jul-2014, MPv5 (May07)

Year     Age      Female         Male        Total
1926      16       5693.40      5967.88     11661.28
1926      17       5415.39      5727.79     11143.18
1926      18       5155.88      5544.54     10700.42
1926      19       4915.13      5402.12     10317.25
1926      20       4678.45      5262.62      9941.07
1926      21       4446.78      5133.87      9580.65
1926      22       4264.27      5021.78      9286.05
1926      23       4152.42      4925.76      9078.18
1926      24       4091.49      4847.74      8939.23
1926      25       4039.90      4788.81      8828.71
1926      26       4003.88      4750.70      8754.58
1926      27       3979.54      4726.77      8706.31
1926      28       3960.79      4715.10      8675.89
1926      29       3949.04      4718.35      8667.39
1926      30       3945.30      4729.60      8674.90
1926      31       3940.72      4732.61      8673.33
1926      32       3957.48      4807.86      8765.34
1926      33       4003.40      4992.62      8996.02
1926      34       4061.32      5237.04      9298.36
1926      35       4111.58      5463.63      9575.21
1926      36       4163.59      5692.73      9856.32
1926      37       4159.35      5830.40      9989.75
1926      38       4066.93      5823.66      9890.59
1926      39       3915.27      5714.51      9629.78
1926      40       3763.77      5604.18      9367.95
1926      41       3601.52      5479.44      9080.96
1926      42       3438.27      5317.28      8755.55
1926      43       3287.44      5117.37      8404.81
1926      44       3142.44      4890.21      8032.65
1926      45       2986.85      4644.29      7631.14
1926      46       2827.10      4379.79      7206.89
1926      47       2665.93      4124.46      6790.39
1926      48       2506.10      3895.12      6401.22
1926      49       2347.44      3681.53      6028.97
1926      50       2192.77      3462.19      5654.96
1926      51       2041.10      3245.27      5286.37
1926      52       1896.94      3027.85      4924.79
1926      53       1763.35      2807.43      4570.78
1926      54       1639.26      2590.68      4229.94
1926      55       1519.76      2381.76      3901.52
1926      56       1402.25      2174.84      3577.09
1926      57       1306.25      2001.51      3307.76
1926      58       1238.84      1875.84      3114.68
1926      59       1191.25      1782.76      2974.01
1926      60       1145.92      1692.67      2838.59
1926      61       1107.18      1611.59      2718.77
1926      62       1059.26      1524.59      2583.85
1926      63        991.84      1421.25      2413.09
1926      64        912.51      1308.26      2220.77
1926      65        838.93      1204.68      2043.61
1926      66        769.76      1107.26      1877.02
1926      67        700.76      1011.93      1712.69
1926      68        635.34       919.68      1555.02
1926      69        571.93       831.52      1403.45
1926      70        510.09       745.35      1255.44
1926      71        449.68       662.76      1112.44
1926      72        395.51       587.60       983.11
1926      73        350.18       519.85       870.03
1926      74        311.26       459.51       770.77
1926      75        274.76       402.59       677.35
1926      76        240.25       350.26       590.51
1926      77        209.50       300.76       510.26
1926      78        180.34       253.42       433.76
1926      79        153.50       209.67       363.17
1926      80        147.58       179.06       326.64
1926      81        142.00       155.89       297.89
1926      82        112.10       137.74       249.84
1926      83         83.87        89.66       173.53
1926      84         68.96        76.70       145.66
1926      85         59.70        65.77       125.47
1926      86         49.79        51.92       101.71
1926      87         39.55        42.42        81.97
1926      88         31.77        33.45        65.22
1926      89         29.92        27.16        57.08
1926      90         23.28        12.75        36.03
1926      91         12.84        10.66        23.50
1926      92         13.00        12.75        25.75
1926      93          9.62         7.87        17.49
1926      94          4.22         4.49         8.71
1926      95          4.03         3.55         7.58
1926      96          1.82         3.04         4.86
1926      97          0.93         3.39         4.32
1926      98          2.21         3.20         5.41
1926      99          1.68         2.85         4.53
1926     100          0.64         0.92         1.56
1926     101          0.00         0.00         0.00
1926     102          0.00         0.00         0.00
1926     103          0.00         0.00         0.00
1926     104          0.00         0.00         0.00
1926     105          0.00         0.00         0.00
1926     106          0.00         0.00         0.00
1926     107          0.00         0.00         0.00
1926     108          0.00         0.00         0.00
1926     109          0.00         0.00         0.00
1926     110+         0.00         0.00         0.00
1927       0       6837.13      6710.16     13547.29
1927       1       7044.87      7004.72     14049.59
1927       2       7216.86      7246.87     14463.73
1927       3       7354.28      7438.86     14793.14
1927       4       7455.36      7582.94     15038.30
1927       5       7523.53      7681.10     15204.63
1927       6       7556.19      7735.85     15292.04
1927       7       7555.36      7749.19     15304.55
1927       8       7520.87      7723.36     15244.23
1927       9       7452.54      7660.62     15113.16
1927      10       7358.96      7569.96     14928.92
1927      11       7247.13      7459.39     14706.52
1927      12       7080.56      7299.15     14379.71
1927      13       6846.89      7075.82     13922.71
1927      14       6566.73      6812.66     13379.39
1927      15       6281.32      6543.66     12824.98
1927      16       5988.32      6260.66     12248.98
1927      17       5699.99      6014.67     11714.66
1927      18       5429.15      5833.50     11262.65
1927      19       5176.57      5697.92     10874.49
1927      20       4924.82      5560.01     10484.83
1927      21       4675.15      5431.17     10106.32
1927      22       4473.98      5309.09      9783.07
1927      23       4341.48      5188.93      9530.41
1927      24       4259.90      5077.93      9337.83
1927      25       4186.99      4986.01      9173.00
1927      26       4130.07      4915.27      9045.34
1927      27       4086.16      4858.43      8944.59
1927      28       4049.82      4816.25      8866.07
1927      29       4022.31      4791.16      8813.47
1927      30       4003.96      4775.23      8779.19
1927      31       3986.79      4752.88      8739.67
1927      32       3993.78      4807.71      8801.49
1927      33       4034.27      4976.86      9011.13
1927      34       4089.68      5212.52      9302.20
1927      35       4138.51      5432.35      9570.86
1927      36       4190.34      5656.00      9846.34
1927      37       4190.92      5800.92      9991.84
1927      38       4113.84      5819.92      9933.76
1927      39       3983.10      5749.18      9732.28
1927      40       3851.61      5675.85      9527.46
1927      41       3711.61      5587.94      9299.55
1927      42       3564.20      5460.95      9025.15
1927      43       3415.95      5292.29      8708.24
1927      44       3265.12      5091.47      8356.59
1927      45       3105.03      4871.81      7976.84
1927      46       2937.61      4635.48      7573.09
1927      47       2774.45      4388.41      7162.86
1927      48       2620.12      4137.82      6757.94
1927      49       2471.28      3883.47      6354.75
1927      50       2324.70      3625.04      5949.74
1927      51       2181.71      3364.53      5546.24
1927      52       2037.29      3114.19      5151.48
1927      53       1886.62      2881.60      4768.22
1927      54       1736.53      2664.77      4401.30
1927      55       1592.61      2453.19      4045.80
1927      56       1449.52      2244.19      3693.71
1927      57       1336.26      2067.44      3403.70
1927      58       1267.51      1934.93      3202.44
1927      59       1229.18      1833.68      3062.86
1927      60       1190.68      1737.18      2927.86
1927      61       1159.18      1650.26      2809.44
1927      62       1115.93      1562.68      2678.61
1927      63       1047.18      1464.43      2511.61
